customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type
CI99444,nevada,2926.886293,No,Basic,College,2/22/11,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,234.774747,Four-Door Car,Medsize,A
GX19342,california,8491.465719,No,Premium,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,A
OJ63606,arizona,5776.338737,No,Premium,High School or Below,1/28/11,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.457982,SUV,Small,A
XD72019,oregon,8470.043225,No,Extended,Bachelor,2/19/11,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.312226,Four-Door Car,Large,A
RR93140,california,2880.348532,No,Basic,College,1/5/11,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,190.642833,Four-Door Car,Medsize,A
PV62583,nevada,9799.175061,No,Extended,College,1/3/11,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A
BL12371,arizona,5790.565333,No,Basic,Master,2/3/11,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,28.92584,Four-Door Car,Large,A
RI22468,arizona,5745.94334,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,A
UY32623,california,3593.12645,No,Extended,College,2/5/11,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A
QV30663,nevada,9863.502214,No,Extended,Master,2/28/11,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,A
MS94619,california,5111.304579,No,Basic,High School or Below,2/13/11,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A
XQ74827,arizona,19435.62924,No,Extended,High School or Below,2/1/11,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,A
GB43363,oregon,6870.607058,No,Premium,College,1/24/11,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A
IQ95180,oregon,5651.396772,No,Basic,Bachelor,1/19/11,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,A
JX52708,california,4556.068318,No,Basic,Bachelor,2/14/11,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A
WL24392,arizona,5860.16743,No,Basic,Bachelor,2/1/11,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A
UO54511,california,4950.250892,No,Basic,High School or Below,1/20/11,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A
NY12562,nevada,2224.089639,No,Basic,College,1/5/11,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A
QG27547,oregon,2867.312197,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
LO37570,arizona,12157.5413,No,Extended,High School or Below,1/7/11,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A
LN28900,california,14687.07959,No,Extended,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A
VM85555,california,7750.120323,No,Basic,College,2/23/11,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A
FR48094,arizona,2456.816127,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A
CH50584,oregon,32474.76977,No,Basic,High School or Below,1/22/11,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A
KO86181,oregon,6941.872931,No,Basic,College,2/11/11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A
NB81923,washington,7294.492993,No,Basic,College,2/24/11,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A
PK23339,arizona,3417.953745,No,Extended,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A
UV12583,california,4700.583771,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A
VG56765,arizona,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A
AK11669,arizona,10130.93442,No,Extended,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A
MS87381,california,23866.15656,No,Extended,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A
HB48073,arizona,9371.773682,No,Basic,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A
EC28398,oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A
FE99816,nevada,15563.36944,No,Premium,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A
HS39343,washington,7475.784971,No,Basic,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A
EF84269,california,5568.656492,No,Extended,College,2/21/11,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A
RD22761,washington,20579.69157,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A
DO41287,oregon,8276.44416,No,Extended,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A
EW33419,california,15114.40241,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A
KH16079,washington,4709.52218,No,Basic,High School or Below,2/12/11,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,A
ZM45168,oregon,2398.354197,No,Basic,College,2/14/11,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,A
BP28492,arizona,4834.710493,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,A
GS85403,washington,9031.214859,Yes,Extended,Master,2/23/11,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,Medsize,A
SK95364,california,4620.390087,No,Extended,College,2/26/11,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936.0,SUV,Medsize,A
UI80897,washington,5552.596353,No,Basic,High School or Below,2/27/11,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377.498287,Two-Door Car,Large,A
WP64059,california,5093.379714,No,Basic,Bachelor,1/6/11,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal L1,Offer3,Call Center,167.037619,Two-Door Car,Medsize,A
IP52990,oregon,16794.31422,No,Basic,High School or Below,2/24/11,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Web,368.890904,SUV,Medsize,A
VF36700,oregon,24278.10167,No,Extended,Master,2/26/11,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal Auto,Personal L2,Offer1,Branch,451.751555,Four-Door Car,Medsize,A
NR16284,california,7462.926263,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,7.345946,Two-Door Car,Small,A
XX53620,oregon,2891.272351,No,Basic,Bachelor,2/2/11,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,134.158389,Four-Door Car,Small,A
AZ64856,california,5048.051359,No,Extended,High School or Below,2/17/11,Employed,F,34452,Suburban,Married,126,2.0,51,0.0,1,Personal Auto,Personal L1,Offer4,Agent,604.8,SUV,Large,A
SA88518,oregon,7737.265103,No,Basic,College,1/19/11,Employed,F,50296,Rural,Married,65,26.0,62,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,46.804,Two-Door Car,Medsize,A
MW48891,washington,8007.399376,Yes,Basic,High School or Below,1/2/11,Unemployed,F,0,Suburban,Divorced,112,12.0,93,0.0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize,A
KX55910,oregon,4957.033603,No,Basic,College,1/15/11,Employed,F,62803,Suburban,Married,62,16.0,12,0.0,5,Personal Auto,Personal L3,Offer2,Web,400.959425,Two-Door Car,Small,A
QB47024,washington,5898.733666,No,Extended,Bachelor,2/17/11,Employed,F,53998,Suburban,Divorced,78,5.0,38,5.0,8,Personal Auto,Personal L3,Offer1,Call Center,414.519064,Four-Door Car,Medsize,A
JL70559,arizona,5310.861767,No,Basic,College,2/2/11,Unemployed,F,0,Suburban,Married,72,17.0,11,1.0,3,Personal Auto,Personal L1,Offer1,Branch,345.6,Four-Door Car,Small,A
TW73441,nevada,2773.455358,No,Basic,High School or Below,1/26/11,Employed,F,73478,Urban,Married,68,2.0,38,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,241.88878,Four-Door Car,Medsize,A
PZ47901,arizona,5504.139033,Yes,Basic,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Four-Door Car,Medsize,A
HX74855,washington,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L3,Offer2,Agent,114.273025,Two-Door Car,Medsize,A
CV40610,california,12313.16484,No,Premium,College,1/17/11,Unemployed,M,0,Suburban,Single,116,7.0,57,0.0,2,Personal Auto,Personal L1,Offer1,Call Center,835.2,Two-Door Car,Medsize,A
MV69686,oregon,3982.180708,No,Extended,Doctor,1/3/11,Employed,F,38500,Urban,Married,99,26.0,49,1.0,1,Corporate Auto,Corporate L2,Offer1,Agent,423.286512,Four-Door Car,Large,A
IB67546,california,8237.037945,No,Basic,Bachelor,1/17/11,Medical Leave,F,23940,Suburban,Married,107,13.0,34,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,513.6,SUV,Small,A
IG89777,california,7356.559341,No,Extended,High School or Below,1/9/11,Employed,M,81145,Urban,Married,92,34.0,92,0.0,8,Corporate Auto,Corporate L2,Offer2,Call Center,321.060571,Two-Door Car,Large,A
FL82372,oregon,8672.194272,No,Basic,College,1/26/11,Employed,F,22547,Suburban,Divorced,112,7.0,60,0.0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize,A
DR84620,california,8071.334962,No,Basic,Bachelor,2/7/11,Employed,M,72149,Rural,Married,101,18.0,43,0.0,6,Personal Auto,Personal L2,Offer2,Call Center,69.310166,SUV,Medsize,A
QQ25666,arizona,14510.7505,No,Basic,High School or Below,1/25/11,Employed,M,60120,Urban,Married,182,30.0,21,0.0,6,Personal Auto,Personal L3,Offer2,Branch,716.469391,Luxury Car,Medsize,A
YU79270,arizona,4633.336334,No,Basic,College,1/15/11,Medical Leave,M,27132,Suburban,Single,63,32.0,59,1.0,4,Personal Auto,Personal L1,Offer1,Branch,302.4,Four-Door Car,Medsize,A
KC22636,california,5488.931031,No,Basic,High School or Below,2/17/11,Employed,F,33881,Rural,Married,68,11.0,83,0.0,9,Personal Auto,Personal L3,Offer2,Web,65.659137,Four-Door Car,Large,A
SO43919,california,14228.23432,No,Extended,Bachelor,1/16/11,Employed,M,31650,Suburban,Married,121,25.0,17,0.0,2,Personal Auto,Personal L3,Offer1,Branch,580.8,SUV,Medsize,A
WW30771,arizona,2673.319593,No,Basic,Master,2/13/11,Employed,M,28728,Suburban,Married,67,8.0,10,0.0,1,Personal Auto,Personal L3,Offer4,Branch,321.6,Four-Door Car,Small,A
BL29046,oregon,5332.462694,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,309.577946,Four-Door Car,Medsize,A
LN50325,arizona,10064.60828,No,Extended,High School or Below,2/3/11,Employed,F,20440,Suburban,Married,128,11.0,54,2.0,9,Corporate Auto,Corporate L3,Offer3,Branch,614.4,Sports Car,Medsize,A
SZ70655,california,4293.009593,No,Basic,College,1/31/11,Unemployed,F,0,Suburban,Single,61,18.0,15,0.0,8,Corporate Auto,Corporate L3,Offer1,Agent,292.8,Two-Door Car,Large,A
QP69826,arizona,3567.503755,Yes,Basic,Bachelor,1/7/11,Unemployed,M,0,Suburban,Married,102,28.0,11,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,660.430456,SUV,Medsize,A
CM78608,california,5823.162917,No,Basic,High School or Below,1/31/11,Employed,F,88359,Rural,Divorced,73,1.0,49,0.0,9,Personal Auto,Personal L3,Offer2,Call Center,35.915639,Two-Door Car,Medsize,A
UX91266,california,3484.141641,No,Extended,Bachelor,1/10/11,Employed,M,34307,Rural,Divorced,92,33.0,62,2.0,1,Personal Auto,Personal L3,Offer1,Call Center,186.025014,Four-Door Car,Medsize,A
WO53546,oregon,34039.05613,No,Basic,College,1/28/11,Unemployed,M,0,Suburban,Divorced,104,26.0,66,0.0,2,Personal Auto,Personal L3,Offer2,Agent,499.2,Sports Car,Medsize,A
ZX85480,washington,7995.441263,No,Basic,High School or Below,1/2/11,Employed,F,66685,Rural,Married,67,35.0,50,2.0,2,Personal Auto,Personal L2,Offer2,Call Center,38.763897,Two-Door Car,Large,A
QJ22057,nevada,4454.104455,No,Basic,College,2/22/11,Unemployed,F,0,Suburban,Single,68,5.0,72,1.0,3,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Large,A
FZ79470,arizona,5395.346288,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Married,74,13.0,30,0.0,4,Personal Auto,Personal L2,Offer3,Web,355.2,Four-Door Car,Medsize,A
VE64781,arizona,2927.07045,No,Basic,Bachelor,2/14/11,Employed,F,75685,Suburban,Married,73,35.0,47,0.0,1,Personal Auto,Personal L3,Offer2,Agent,369.918482,Four-Door Car,Small,A
UB51030,washington,6582.450781,No,Basic,High School or Below,2/15/11,Unemployed,F,0,Suburban,Single,62,3.0,44,0.0,2,Special Auto,Special L3,Offer1,Agent,297.6,Four-Door Car,Medsize,A
IE36279,california,2844.849804,No,Basic,Bachelor,2/6/11,Employed,M,80306,Suburban,Divorced,71,11.0,12,0.0,1,Corporate Auto,Corporate L1,Offer3,Call Center,340.8,Two-Door Car,Medsize,A
BW80872,washington,4434.411172,No,Premium,High School or Below,1/13/11,Employed,M,34549,Rural,Married,111,8.0,78,0.0,1,Personal Auto,Personal L2,Offer2,Web,125.933005,Four-Door Car,Medsize,A
EP29567,washington,7031.463693,No,Extended,Master,1/24/11,Retired,M,16224,Suburban,Married,93,13.0,55,0.0,9,Corporate Auto,Corporate L1,Offer3,Web,498.452698,Four-Door Car,Medsize,A
AX70794,california,2449.31771,No,Basic,High School or Below,2/4/11,Employed,M,47122,Suburban,Single,62,6.0,77,0.0,1,Personal Auto,Personal L2,Offer2,Branch,297.6,Two-Door Car,Medsize,A
NJ46849,arizona,2504.444752,No,Basic,College,1/9/11,Unemployed,M,0,Suburban,Single,69,23.0,15,0.0,1,Personal Auto,Personal L2,Offer2,Branch,496.8,Four-Door Car,Medsize,A
WH20102,california,9095.049868,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal Auto,Personal L2,Offer2,Call Center,556.8,SUV,Medsize,A
QO86948,nevada,8071.65295,No,Basic,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,112,3.0,84,0.0,7,Personal Auto,Personal L3,Offer1,Web,806.4,SUV,Small,A
DN14211,oregon,15032.9003,No,Basic,College,1/17/11,Medical Leave,M,17150,Suburban,Married,65,28.0,19,0.0,2,Personal Auto,Personal L2,Offer1,Agent,689.800891,Two-Door Car,Medsize,A
YJ16163,oregon,11009.13049,Yes,Premium,Bachelor,1/24/11,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Special Auto,Special L3,Offer2,Agent,1358.4,Luxury Car,Medsize,A
LH26563,oregon,4550.856045,No,Premium,High School or Below,2/8/11,Disabled,F,17913,Suburban,Married,116,0.0,39,0.0,1,Personal Auto,Personal L3,Offer3,Web,556.8,Four-Door Car,Small,A
LE65901,oregon,4434.941371,No,Basic,Bachelor,2/20/11,Employed,F,58082,Rural,Married,112,31.0,66,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,103.022126,SUV,Medsize,A
MR60878,oregon,15762.53198,No,Basic,Bachelor,2/15/11,Employed,F,44362,Rural,Married,66,15.0,75,0.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,142.113373,Four-Door Car,Small,A
CY45848,oregon,4273.587765,No,Premium,Bachelor,1/30/11,Employed,F,82214,Rural,Married,106,11.0,19,1.0,1,Personal Auto,Personal L1,Offer3,Branch,239.143671,Four-Door Car,Medsize,A
HH30454,oregon,32654.8383,No,Premium,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,153,7.0,75,0.0,2,Personal Auto,Personal L3,Offer3,Branch,1101.6,SUV,Medsize,A
NI18835,california,2927.734329,No,Basic,Bachelor,2/15/11,Employed,M,51991,Rural,Married,73,4.0,95,0.0,1,Personal Auto,Personal L3,Offer2,Web,124.376921,Four-Door Car,Medsize,A
NL75739,arizona,7590.050089,No,Basic,High School or Below,1/2/11,Disabled,M,10375,Suburban,Married,66,10.0,95,0.0,2,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,Medsize,A
RF94484,oregon,4605.036646,Yes,Basic,College,1/28/11,Medical Leave,F,22571,Suburban,Single,63,29.0,51,0.0,9,Corporate Auto,Corporate L3,Offer2,Web,302.4,Four-Door Car,Large,A
TK38732,oregon,4873.350518,No,Extended,High School or Below,2/18/11,Employed,M,47824,Urban,Married,129,8.0,56,3.0,1,Personal Auto,Personal L2,Offer4,Agent,546.046853,SUV,Medsize,A
FI86516,oregon,4786.054889,No,Basic,Bachelor,1/26/11,Unemployed,F,0,Suburban,Single,68,4.0,67,0.0,9,Corporate Auto,Corporate L1,Offer1,Agent,489.6,Four-Door Car,Small,A
BS90503,washington,5395.091602,No,Basic,Bachelor,2/15/11,Employed,F,86640,Rural,Married,67,2.0,25,0.0,5,Personal Auto,Personal L1,Offer2,Web,65.457366,Four-Door Car,Medsize,A
AG39150,oregon,2356.074955,No,Basic,Bachelor,2/4/11,Unemployed,M,0,Suburban,Married,63,22.0,94,0.0,1,Personal Auto,Personal L3,Offer1,Agent,302.4,Four-Door Car,Medsize,A
MU76701,washington,3921.018919,No,Extended,College,1/20/11,Employed,F,62445,Suburban,Married,98,19.0,12,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,681.167228,Four-Door Car,Small,A
JH73503,arizona,20171.96154,No,Basic,Doctor,2/1/11,Employed,M,24804,Suburban,Married,73,19.0,98,0.0,2,Personal Auto,Personal L2,Offer3,Call Center,350.4,Two-Door Car,Small,A
JC38573,oregon,5528.212807,Yes,Basic,Bachelor,1/19/11,Employed,M,36088,Suburban,Single,72,16.0,31,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,345.6,Four-Door Car,Medsize,A
NL33789,california,4077.501164,No,Basic,Bachelor,1/20/11,Employed,F,53093,Rural,Divorced,103,3.0,62,0.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,98.991733,SUV,Medsize,A
VZ81004,oregon,19259.84494,No,Premium,Master,1/26/11,Employed,F,35973,Suburban,Married,159,5.0,97,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,763.2,Sports Car,Large,A
IB81655,california,7695.122957,No,Basic,Bachelor,1/24/11,Employed,M,50147,Suburban,Single,101,4.0,37,0.0,3,Personal Auto,Personal L2,Offer1,Branch,484.8,SUV,Medsize,A
BU72633,nevada,42561.63183,No,Basic,Master,1/10/11,Employed,M,66661,Suburban,Single,119,23.0,41,0.0,2,Personal Auto,Personal L2,Offer1,Agent,571.2,SUV,Medsize,A
PR37714,california,7153.208425,No,Extended,Bachelor,2/23/11,Employed,F,32238,Suburban,Divorced,91,15.0,80,0.0,4,Personal Auto,Personal L3,Offer3,Branch,439.781453,Four-Door Car,Medsize,A
EP82214,arizona,26180.80528,No,Extended,High School or Below,1/7/11,Employed,F,68189,Urban,Married,82,10.0,17,1.0,2,Special Auto,Special L2,Offer2,Branch,343.121192,Four-Door Car,Medsize,A
OY20177,oregon,7089.68396,No,Extended,High School or Below,2/17/11,Employed,M,52707,Suburban,Married,90,33.0,66,1.0,6,Corporate Auto,Corporate L3,Offer3,Branch,432.0,Four-Door Car,Medsize,A
LK57294,oregon,4786.009693,No,Basic,High School or Below,2/25/11,Employed,M,23402,Suburban,Married,61,29.0,38,0.0,7,Personal Auto,Personal L1,Offer4,Call Center,292.8,Four-Door Car,Medsize,A
LC33025,oregon,7918.334928,No,Extended,College,2/14/11,Employed,M,44698,Suburban,Married,211,0.0,88,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,1012.8,Luxury Car,Medsize,A
NG15645,california,2858.087414,No,Basic,Master,1/11/11,Employed,F,27382,Rural,Married,71,33.0,35,0.0,1,Personal Auto,Personal L2,Offer2,Web,134.104322,Four-Door Car,Medsize,A
CJ59481,washington,2837.109178,No,Basic,College,2/28/11,Employed,M,90893,Rural,Married,70,8.0,82,0.0,1,Personal Auto,Personal L3,Offer1,Agent,70.712507,Two-Door Car,Medsize,A
DN98431,oregon,2535.321683,No,Basic,High School or Below,2/27/11,Unemployed,F,0,Suburban,Married,68,24.0,73,0.0,1,Corporate Auto,Corporate L3,Offer1,Branch,326.4,Four-Door Car,Medsize,A
ZC32761,arizona,8433.228985,No,Basic,Bachelor,2/15/11,Employed,M,57961,Rural,Divorced,72,27.0,64,0.0,2,Personal Auto,Personal L3,Offer1,Agent,38.513959,Two-Door Car,Large,A
